traffic_source,order_month,total_orders,unique_customers,total_revenue,prev_month_revenue,mom_growth_pct,channel_rank
Organic,2023-09-01,132,132,11656.23,11118.3,4.84,2
Facebook,2023-09-01,71,70,5712.18,4928.15,15.91,3
Email,2023-09-01,57,57,5160.0,4360.2,18.34,4
Display,2023-09-01,36,36,3439.08,3747.91,-8.24,5
Search,2023-10-01,797,790,69212.6,68157.06,1.55,1
Organic,2023-10-01,144,144,11186.35,11656.23,-4.03,2
Facebook,2023-10-01,79,77,6689.85,5712.18,17.12,3
Email,2023-10-01,61,60,5090.53,5160.0,-1.35,4
Display,2023-10-01,47,46,3814.37,3439.08,10.91,5
Search,2023-11-01,742,737,61410.47,69212.6,-11.27,1
Organic,2023-11-01,166,164,13570.49,11186.35,21.31,2
Facebook,2023-11-01,65,63,6550.71,6689.85,-2.08,3
Email,2023-11-01,64,63,5673.65,5090.53,11.45,4
Display,2023-11-01,37,37,3384.03,3814.37,-11.28,5
Search,2023-12-01,834,825,72660.14,61410.47,18.32,1
Organic,2023-12-01,168,168,15710.46,13570.49,15.77,2
Email,2023-12-01,65,64,6550.74,5673.65,15.46,3
Facebook,2023-12-01,66,64,4985.21,6550.71,-23.9,4
Display,2023-12-01,40,39,3240.52,3384.03,-4.24,5
Search,2024-01-01,861,850,74441.79,72660.14,2.45,1
Organic,2024-01-01,169,166,13892.16,15710.46,-11.57,2
Facebook,2024-01-01,60,58,4651.63,4985.21,-6.69,3
Email,2024-01-01,59,59,4134.63,6550.74,-36.88,4
Display,2024-01-01,33,33,3014.38,3240.52,-6.98,5
Search,2024-02-01,883,878,76499.08,74441.79,2.76,1
Organic,2024-02-01,175,174,14095.6,13892.16,1.46,2
Email,2024-02-01,62,61,4710.6,4134.63,13.93,3
Display,2024-02-01,44,44,4108.96,3014.38,36.31,4
Facebook,2024-02-01,59,58,4091.04,4651.63,-12.05,5
Search,2024-03-01,927,916,80160.25,76499.08,4.79,1
Organic,2024-03-01,184,184,15134.69,14095.6,7.37,2
Facebook,2024-03-01,77,77,6185.86,4091.04,51.21,3
Email,2024-03-01,62,61,4159.33,4710.6,-11.7,4
Display,2024-03-01,50,50,3776.51,4108.96,-8.09,5
Search,2024-04-01,970,960,85590.66,80160.25,6.77,1
Organic,2024-04-01,181,180,15640.54,15134.69,3.34,2
Email,2024-04-01,79,79,6288.3,4159.33,51.19,3
Facebook,2024-04-01,68,68,5376.46,6185.86,-13.08,4
Display,2024-04-01,49,47,4970.65,3776.51,31.62,5
Search,2024-05-01,1017,1000,91944.97,85590.66,7.42,1
Organic,2024-05-01,221,217,18815.89,15640.54,20.3,2
Display,2024-05-01,63,63,6075.42,4970.65,22.23,3
Facebook,2024-05-01,71,71,5661.93,5376.46,5.31,4
Email,2024-05-01,56,56,5220.07,6288.3,-16.99,5
Search,2024-06-01,917,913,88840.58,91944.97,-3.38,1
Organic,2024-06-01,196,193,16562.79,18815.89,-11.97,2
Facebook,2024-06-01,97,97,8628.0,5661.93,52.39,3
Email,2024-06-01,75,74,6888.37,5220.07,31.96,4
Display,2024-06-01,61,61,5426.53,6075.42,-10.68,5
Search,2024-07-01,1058,1046,94848.09,88840.58,6.76,1
Organic,2024-07-01,212,211,18831.24,16562.79,13.7,2
Facebook,2024-07-01,84,84,8415.78,8628.0,-2.46,3
Email,2024-07-01,77,76,4682.52,6888.37,-32.02,4
Display,2024-07-01,56,55,4674.99,5426.53,-13.85,5
Search,2024-08-01,1080,1068,92145.54,94848.09,-2.85,1
Organic,2024-08-01,234,233,19429.03,18831.24,3.17,2
Facebook,2024-08-01,81,81,7312.06,8415.78,-13.11,3
Email,2024-08-01,81,81,7024.88,4682.52,50.02,4
Display,2024-08-01,73,73,6478.11,4674.99,38.57,5
Search,2024-09-01,1055,1044,91502.55,92145.54,-0.7,1
Organic,2024-09-01,220,216,18111.7,19429.03,-6.78,2
Email,2024-09-01,84,84,7678.14,7024.88,9.3,3
Facebook,2024-09-01,96,95,7435.79,7312.06,1.69,4
Display,2024-09-01,69,68,5748.68,6478.11,-11.26,5
Search,2024-10-01,1181,1175,104517.48,91502.55,14.22,1
Organic,2024-10-01,231,227,17245.32,18111.7,-4.78,2
Facebook,2024-10-01,104,103,9392.29,7435.79,26.31,3
Email,2024-10-01,100,97,7967.3,7678.14,3.77,4
Display,2024-10-01,58,56,4425.98,5748.68,-23.01,5
Search,2024-11-01,1129,1116,96278.72,104517.48,-7.88,1
Organic,2024-11-01,292,289,24012.87,17245.32,39.24,2
Facebook,2024-11-01,109,109,8460.41,9392.29,-9.92,3
Email,2024-11-01,80,80,6637.1,7967.3,-16.7,4
Display,2024-11-01,70,68,5626.33,4425.98,27.12,5
Search,2024-12-01,1165,1148,100026.39,96278.72,3.89,1
Organic,2024-12-01,265,261,22323.55,24012.87,-7.04,2
Email,2024-12-01,88,85,7369.94,6637.1,11.04,3
Facebook,2024-12-01,94,93,6826.55,8460.41,-19.31,4
Display,2024-12-01,59,59,4682.93,5626.33,-16.77,5
